order_item_id,order_id,product_id,quantity,unit_price,discount_pct,line_total
OI-0000001,OR-000001,SKU-0027,3,10.49,0.00,31.47
OI-0000002,OR-000001,SKU-0046,2,40.95,0.00,81.90
OI-0000003,OR-000001,SKU-0022,2,26.86,0.15,45.66
OI-0000004,OR-000001,SKU-0019,3,40.98,0.15,104.50
OI-0000015,OR-000006,SKU-0037,5,35.00,0.00,175.00
OI-0000016,OR-000007,SKU-0012,4,40.02,0.10,144.07
OI-0000017,OR-000007,SKU-0020,3,31.62,0.10,85.37
OI-0000018,OR-000007,SKU-0004,1,35.25,0.15,29.96
OI-0000019,OR-000007,SKU-0012,5,40.02,0.00,200.10
OI-0000020,OR-000007,SKU-0019,3,40.98,0.10,110.65
OI-0000021,OR-000008,SKU-0046,2,40.95,0.05,77.81
OI-0000022,OR-000008,SKU-0029,3,4.31,0.10,11.64
OI-0000023,OR-000008,SKU-0048,1,24.84,0.00,24.84
OI-0000024,OR-000008,SKU-0026,1,21.39,0.10,19.25
OI-0000025,OR-000008,SKU-0013,4,12.69,0.00,50.76
OI-0000026,OR-000009,SKU-0054,4,31.89,0.10,114.80
OI-0000027,OR-000010,SKU-0016,4,46.17,0.10,166.21
OI-0000028,OR-000010,SKU-0001,6,14.26,0.10,77.00
OI-0000033,OR-000012,SKU-0043,1,47.93,0.00,47.93
OI-0000034,OR-000012,SKU-0011,1,30.63,0.00,30.63
OI-0000035,OR-000012,SKU-0038,2,21.08,0.05,40.05
OI-0000040,OR-000014,SKU-0039,4,46.71,0.00,186.84
OI-0000045,OR-000016,SKU-0005,2,42.53,0.00,88.23
OI-0000046,OR-000016,SKU-0051,5,14.92,0.00,74.60
OI-0000047,OR-000016,SKU-0036,6,13.87,0.05,79.06
OI-0000052,OR-000019,SKU-0045,3,16.47,0.00,49.41
OI-0000053,OR-000019,SKU-0047,3,42.92,0.00,128.76
OI-0000054,OR-000020,SKU-0041,3,19.76,0.10,53.35
OI-0000057,OR-000022,SKU-0036,1,13.87,0.00,13.87
OI-0000058,OR-000022,SKU-0024,6,21.04,0.10,113.62
OI-0000059,OR-000022,SKU-0042,4,36.89,0.00,147.56
OI-0000060,OR-000022,SKU-0045,4,16.47,0.10,59.29
OI-0000061,OR-000022,SKU-0001,4,14.26,0.05,54.19
OI-0000062,OR-000023,SKU-0006,6,20.40,0.00,122.40
OI-0000063,OR-000023,SKU-0022,1,26.86,0.15,22.83
OI-0000064,OR-000023,SKU-0011,4,30.63,0.05,116.39
OI-0000065,OR-000023,SKU-0036,6,13.87,0.00,83.22
OI-0000078,OR-000027,SKU-0032,3,46.35,0.05,132.10
OI-0000079,OR-000027,SKU-0010,4,37.20,0.00,148.80
OI-0000080,OR-000027,SKU-0043,3,47.93,0.00,143.79
OI-0000081,OR-000028,SKU-0012,5,40.02,0.15,170.09
OI-0000082,OR-000028,SKU-0051,3,14.92,0.10,40.28
OI-0000083,OR-000028,SKU-0040,1,45.53,0.15,38.70
OI-0000089,OR-000031,SKU-0039,3,46.71,0.05,133.12
OI-0000090,OR-000031,SKU-0002,5,15.08,0.10,67.86
OI-0000091,OR-000031,SKU-0009,4,33.65,0.15,114.41
OI-0000094,OR-000033,SKU-0044,2,26.37,0.15,44.83
OI-0000095,OR-000033,SKU-0026,4,21.39,0.00,85.56
OI-0000096,OR-000033,SKU-0014,5,43.57,0.05,206.96
OI-0000097,OR-000033,SKU-0038,5,21.08,0.00,105.40
OI-0000098,OR-000034,SKU-0023,3,8.40,0.05,23.94
OI-0000099,OR-000034,SKU-0007,2,39.44,0.10,70.99
OI-0000100,OR-000034,SKU-0033,2,37.17,0.10,66.91
OI-0000101,OR-000034,SKU-0032,2,46.35,0.05,88.06
OI-0000102,OR-000034,SKU-0028,4,34.65,0.05,131.67
OI-0000105,OR-000036,SKU-0016,6,46.17,0.00,277.02
OI-0000106,OR-000036,SKU-0017,6,9.51,0.05,54.21
OI-0000107,OR-000036,SKU-0050,2,46.08,0.05,87.55
OI-0000115,OR-000040,SKU-0024,1,21.04,0.15,17.88
OI-0000116,OR-000040,SKU-0015,3,11.18,0.05,31.86
OI-0000117,OR-000040,SKU-0029,4,4.31,0.00,17.24
OI-0000118,OR-000040,SKU-0016,3,46.17,0.00,138.51
OI-0000119,OR-000041,SKU-0026,5,21.39,0.00,106.95
OI-0000120,OR-000041,SKU-0042,2,36.89,0.00,73.78
OI-0000121,OR-000041,SKU-0053,6,10.85,0.00,65.10
OI-0000124,OR-000043,SKU-0017,4,9.51,0.15,32.33
OI-0000125,OR-000043,SKU-0009,2,33.65,0.00,67.30
OI-0000126,OR-000043,SKU-0054,2,31.89,0.00,63.78
OI-0000127,OR-000043,SKU-0009,5,33.65,0.10,151.43
OI-0000128,OR-000043,SKU-0046,1,40.95,0.00,40.95
OI-0000129,OR-000044,SKU-0022,1,26.86,0.00,26.86
OI-0000130,OR-000044,SKU-0040,3,45.53,0.00,136.59
OI-0000131,OR-000044,SKU-0035,2,22.53,0.00,45.06
OI-0000139,OR-000048,SKU-0051,1,14.92,0.00,14.92
OI-0000149,OR-000051,SKU-0040,4,45.53,0.00,182.12
