order_id,customer_id,store_id,order_date,status,channel,currency
OR-000002,CU-00090,ST-006,2026-01-15,delivered,mobile,USD
OR-000003,CU-00039,ST-002,2026-01-15,placed,in_store,USD
OR-000004,CU-00053,ST-007,2026-01-15,delivered,web,USD
OR-000005,CU-00053,ST-003,2026-01-15,picked,in_store,USD
OR-000011,CU-00075,ST-007,2026-01-15,delivered,mobile,USD
OR-000013,CU-00001,ST-003,2026-01-15,returned,phone,USD
OR-000015,CU-00138,ST-004,2026-01-15,shipped,web,USD
OR-000017,CU-00001,ST-004,2026-01-15,delivered,in_store,USD
OR-000018,CU-00124,ST-004,2026-01-15,shipped,in_store,USD
OR-000021,CU-00103,ST-005,2026-01-15,returned,in_store,USD
OR-000024,CU-00122,ST-006,2026-01-15,picked,web,USD
OR-000025,CU-00088,ST-006,2026-01-15,shipped,mobile,USD
OR-000026,CU-00194,ST-008,2026-01-15,delivered,web,USD
OR-000029,CU-00188,ST-007,2026-01-15,placed,phone,USD
OR-000030,CU-00187,ST-005,2026-01-15,returned,mobile,USD
OR-000032,CU-00050,ST-005,2026-01-15,placed,phone,USD
OR-000035,CU-00178,ST-002,2026-01-15,picked,in_store,USD
OR-000037,CU-00191,ST-003,2026-01-15,delivered,in_store,USD
OR-000038,CU-00197,ST-001,2026-01-15,shipped,mobile,USD
OR-000039,CU-00048,ST-008,2026-01-15,shipped,mobile,USD
OR-000042,CU-00035,ST-008,2026-01-15,delivered,web,USD
OR-000045,CU-00022,ST-007,2026-01-15,delivered,web,USD
OR-000046,CU-00175,ST-001,2026-01-15,placed,web,USD
OR-000047,CU-00117,ST-005,2026-01-15,shipped,web,USD
OR-000049,CU-00089,ST-003,2026-01-15,delivered,in_store,USD
OR-000050,CU-00137,ST-006,2026-01-15,delivered,web,USD
OR-000052,CU-00157,ST-007,2026-01-15,placed,in_store,USD
OR-000057,CU-00179,ST-004,2026-01-15,delivered,in_store,USD
OR-000059,CU-00123,ST-002,2026-01-15,delivered,mobile,USD
OR-000062,CU-00115,ST-003,2026-01-15,returned,mobile,USD
OR-000064,CU-00001,ST-006,2026-01-15,shipped,in_store,USD
OR-000065,CU-00080,ST-006,2026-01-15,placed,mobile,USD
OR-000068,CU-00115,ST-005,2026-01-15,placed,in_store,USD
OR-000070,CU-00123,ST-008,2026-01-15,picked,mobile,USD
OR-000071,CU-00006,ST-006,2026-01-15,picked,in_store,USD
OR-000072,CU-00032,ST-008,2026-01-15,returned,web,USD
OR-000073,CU-00035,ST-007,2026-01-15,placed,mobile,USD
OR-000074,CU-00011,ST-001,2026-01-15,returned,phone,USD
OR-000075,CU-00159,ST-005,2026-01-15,picked,phone,USD
OR-000076,CU-00028,ST-008,2026-01-15,returned,mobile,USD
OR-000077,CU-00107,ST-001,2026-01-15,returned,mobile,USD
OR-000080,CU-00129,ST-008,2026-01-15,shipped,mobile,USD
OR-000082,CU-00027,ST-006,2026-01-15,picked,web,USD
OR-000083,CU-00185,ST-007,2026-01-15,delivered,mobile,USD
OR-000085,CU-00108,ST-002,2026-01-15,picked,in_store,USD
OR-000086,CU-00169,ST-001,2026-01-15,placed,mobile,USD
OR-000087,CU-00089,ST-003,2026-01-15,placed,mobile,USD
OR-000089,CU-00143,ST-006,,shipped,mobile,USD
OR-000092,CU-00154,ST-005,2026-01-15,returned,phone,USD
OR-000094,CU-00050,ST-001,2026-01-15,returned,in_store,USD
OR-000096,CU-00179,ST-007,2026-01-15,shipped,web,USD
OR-000101,CU-00145,ST-003,2026-01-15,delivered,web,USD
OR-000102,CU-00014,ST-005,2026-01-15,picked,mobile,USD
OR-000105,CU-00043,ST-004,2026-01-15,shipped,web,USD
OR-000107,CU-00020,ST-008,2026-01-15,placed,mobile,USD
OR-000109,CU-00052,ST-004,2026-01-15,delivered,in_store,USD
OR-000110,CU-00137,ST-001,2026-01-15,delivered,phone,USD
OR-000111,CU-00045,ST-003,2026-01-15,shipped,phone,USD
OR-000112,CU-00096,ST-003,2026-01-15,shipped,mobile,USD
OR-000113,CU-00157,ST-007,2026-01-15,returned,phone,USD
OR-000115,CU-00013,ST-002,2026-01-15,placed,phone,USD
OR-000116,CU-00168,ST-002,2026-01-15,delivered,in_store,USD
OR-000117,CU-00121,ST-001,2026-01-15,placed,mobile,USD
OR-000119,CU-00173,ST-002,2026-01-15,delivered,phone,USD
OR-000120,CU-00038,ST-005,2026-01-15,returned,phone,USD
OR-000121,CU-00153,ST-001,2026-01-15,shipped,mobile,USD
OR-000122,CU-00062,ST-007,2026-01-15,placed,in_store,USD
OR-000123,CU-00148,ST-003,2026-01-15,shipped,web,USD
OR-000124,CU-00125,ST-005,2026-01-15,delivered,phone,USD
OR-000125,CU-00029,ST-007,2026-01-15,picked,mobile,USD
OR-000126,CU-00153,ST-004,2026-01-15,picked,in_store,USD
OR-000128,CU-00159,ST-004,2026-01-15,shipped,in_store,USD
OR-000129,CU-00024,ST-003,2026-01-15,placed,phone,USD
OR-000132,CU-00196,ST-006,2026-01-15,returned,phone,USD
OR-000133,CU-00012,ST-001,2026-01-15,shipped,mobile,USD
OR-000135,CU-00028,ST-006,2026-01-15,shipped,in_store,USD
OR-000136,CU-00169,ST-004,2026-01-15,delivered,phone,USD
OR-000138,CU-00032,ST-004,2026-01-15,placed,phone,USD
OR-000140,CU-00008,ST-001,2026-01-15,placed,in_store,USD
OR-000141,CU-90001,ST-001,2026-01-15,placed,mobile,USD
OR-000143,CU-00175,ST-002,2026-01-15,placed,web,USD
OR-000147,CU-00072,ST-004,2026-01-15,shipped,phone,USD
OR-000149,CU-00013,ST-001,2026-01-15,shipped,web,USD
OR-000150,CU-00106,ST-005,2026-01-15,returned,phone,USD
OR-000152,CU-00015,ST-005,2026-01-15,delivered,mobile,USD
OR-000154,CU-00172,ST-007,2026-01-15,delivered,phone,USD
OR-000157,CU-00138,ST-004,2026-01-15,shipped,web,USD
OR-000160,CU-00005,ST-003,2026-01-15,returned,in_store,USD
OR-000161,CU-00064,ST-008,2026-01-15,picked,web,USD
OR-000164,CU-00137,ST-007,2026-01-15,placed,mobile,USD
